a	a |
akapanga	a k a p a n g a |
akapiga	a k a p i g a |
akaponda	a k a p o n d a |
akapoteza	a k a p o t e z a |
akaruka	a k a r u k a |
akasaini	a k a s a i n i |
akasema	a k a s e m a |
akashika	a k a s h i k a |
akashimama	a k a s h i m a m a |
akashuka	a k a s h u k a |
akataka	a k a t a k a |
akatazama	a k a t a z a m a |
akatia	a k a t i a |
akatoa	a k a t o a |
akatosha	a k a t o s h a |
akatuambia	a k a t u a m b i a |
akatuma	a k a t u m a |
akauliza	a k a u l i z a |
akaunti	a k a u n t i |
akavuka	a k a v u k a |
akawaacha	a k a w a a c h a |
akawaambia	a k a w a a m b i a |
akawapiga	a k a w a p i g a |
aki	a k i |
akiangalia	a k i a n g a l i a |
akiangukia	a k i a n g u k i a |
akiba	a k i b a |
akibeba	a k i b e b a |
akibusu	a k i b u s u |
akicheza	a k i c h e z a |
akifanya	a k i f a n y a |
akifikiria	a k i f i k i r i a |
akifoka	a k i f o k a |
akifuatiwa	a k i f u a t i w a |
akigonjwa	a k i g o n j w a |
akijaribu	a k i j a r i b u |
akijisemesha	a k i j i s e m e s h a |
akijua	a k i j u a |
akikamata	a k i k a m a t a |
akikata	a k i k a t a |
akikunywa	a k i k u n y w a |
akili	a k i l i |
akilia	a k i l i a |
akilota	a k i l o t a |
akimbie	a k i m b i e |
akimkaribia	a k i m k a r i b i a |
akimpenda	a k i m p e n d a |
akimtishia	a k i m t i s h i a |
akimushika	a k i m u s h i k a |
akimwangia	a k i m w a n g i a |
akingali	a k i n g a l i |
akinge	a k i n g e |
akiniona	a k i n i o n a |
akiomba	a k i o m b a |
akiongeza	a k i o n g e z a |
akipata	a k i p a t a |
akipiga	a k i p i g a |
akipigana	a k i p i g a n a |
akipingana	a k i p i n g a n a |
akipita	a k i p i t a |
akirudia	a k i r u d i a |
akirudilia	a k i r u d i l i a |
akiruka	a k i r u k a |
akisema	a k i s e m a |
akisha	a k i s h a |
akishimama	a k i s h i m a m a |
akisikiliza	a k i s i k i l i z a |
akisubiri	a k i s u b i r i |
akisumulia	a k i s u m u l i a |
akita	a k i t a |
akitafakari	a k i t a f a k a r i |
akitafuta	a k i t a f u t a |
akitaka	a k i t a k a |
akitazama	a k i t a z a m a |
akitembeza	a k i t e m b e z a |
akitetemeka	a k i t e t e m e k a |
akitoa	a k i t o a |
akitumikisha	a k i t u m i k i s h a |
akivala	a k i v a l a |
akiwa	a k i w a |
akiwaza	a k i w a z a |
akiweka	a k i w e k a |
akiwemo	a k i w e m o |
akizowea	a k i z o w e a |
akizunguruka	a k i z u n g u r u k a |
akizungusha	a k i z u n g u s h a |
aklol	a k l o l |
ako	a k o |
aksanti	a k s a n t i |
akubali	a k u b a l i |
akubariki	a k u b a r i k i |
akufe	a k u f e |
akukopeshe	a k u k o p e s h e |
akuna	a k u n a |
akuone	a k u o n e |
akupatie	a k u p a t i e |
akupe	a k u p e |
akusanyike	a k u s a n y i k e |
akushiriki	a k u s h i r i k i |
akuwa	a k u w a |
akuwe	a k u w e |
akuweza	a k u w e z a |
akuye	a k u y e |
al	a l |
aladin	a l a d i n |
alain	a l a i n |
alama	a l a m a |
alan	a l a n |
alarme	a l a r m e |
alarmes	a l a r m e s |
albamu	a l b a m u |
albert	a l b e r t |
alberta	a l b e r t a |
albumu	a l b u m u |
alcaline	a l c a l i n e |
alchimiste	a l c h i m i s t e |
aldi	a l d i |
aldo	a l d o |
alex	a l e x |
alfa	a l f a |
alfabeti	a l f a b e t i |
alfee	a l f e e |
algeria	a l g e r i a |
ali	a l i |
aliacha	a l i a c h a |
aliachana	a l i a c h a n a |
aliagiza	a l i a g i z a |
aliahidi	a l i a h i d i |
aliambia	a l i a m b i a |
aliambukizwa	a l i a m b u k i z w a |
aliamini	a l i a m i n i |
aliamua	a l i a m u a |
aliamuru	a l i a m u r u |
aliandaa	a l i a n d a a |
aliandika	a l i a n d i k a |
aliangalia	a l i a n g a l i a |
alianguka	a l i a n g u k a |
alianza	a l i a n z a |
alianzaka	a l i a n z a k a |
alianzisha	a l i a n z i s h a |
alibabaika	a l i b a b a i k a |
alibadilisha	a l i b a d i l i s h a |
alibadirisha	a l i b a d i r i s h a |
alibaki	a l i b a k i |
alibakia	a l i b a k i a |
alibakwa	a l i b a k w a |
alibariki	a l i b a r i k i |
alice	a l i c e |
alichagua	a l i c h a g u a |
alichaguliwa	a l i c h a g u l i w a |
alichapa	a l i c h a p a |
alicheza	a l i c h e z a |
alicho	a l i c h o |
alichoka	a l i c h o k a |
alichoma	a l i c h o m a |
alichumbia	a l i c h u m b i a |
alichunguza	a l i c h u n g u z a |
alidai	a l i d a i |
alidumbukia	a l i d u m b u k i a |
alie	a l i e |
—alielekea	— a l i e l e k e a |
alielewa	a l i e l e w a |
alienda	a l i e n d a |
aliendelea	a l i e n d e l e a |
aliendelesha	a l i e n d e l e s h a |
aliendoka	a l i e n d o k a |
alifahamisha	a l i f a h a m i s h a |
alifanya	a l i f a n y a |
alifanywa	a l i f a n y w a |
alifasiria	a l i f a s i r i a |
alifata	a l i f a t a |
alifika	a l i f i k a |
alifikia	a l i f i k i a |
alifikiri	a l i f i k i r i |
alifukuza	a l i f u k u z a |
alifukuzwa	a l i f u k u z w a |
alifunga	a l i f u n g a |
alifungia	a l i f u n g i a |
alifungiwa	a l i f u n g i w a |
alifungua	a l i f u n g u a |
alifungwa	a l i f u n g w a |
alifurahi	a l i f u r a h i |
alifurahia	a l i f u r a h i a |
alifurahisha	a l i f u r a h i s h a |
alifurahishwa	a l i f u r a h i s h w a |
aligeuka	a l i g e u k a |
aligeuzwa	a l i g e u z w a |
aligonga	a l i g o n g a |
aligonjwa	a l i g o n j w a |
aligundua	a l i g u n d u a |
aligundulika	a l i g u n d u l i k a |
aligunduliwa	a l i g u n d u l i w a |
aligunduwa	a l i g u n d u w a |
aliguswa	a l i g u s w a |
alihakikishwa	a l i h a k i k i s h w a |
alihamia	a l i h a m i a |
alihisi	a l i h i s i |
alihukumiwa	a l i h u k u m i w a |
aliianzisha	a l i i a n z i s h a |
aliiba	a l i i b a |
aliibeba	a l i i b e b a |
aliibia	a l i i b i a |
aliikala	a l i i k a l a |
aliikuta	a l i i k u t a |
aliilazimisha	a l i i l a z i m i s h a |
aliimaliza	a l i i m a l i z a |
aliimba	a l i i m b a |
aliingia	a l i i n g i a |
aliinua	a l i i n u a |
aliishi	a l i i s h i |
aliishia	a l i i s h i a |
aliita	a l i i t a |
aliitika	a l i i t i k a |
alijaribu	a l i j a r i b u |
alijeruliwa	a l i j e r u l i w a |
alijiandikisha	a l i j i a n d i k i s h a |
alijibu	a l i j i b u |
alijifanya	a l i j i f a n y a |
alijificha	a l i j i f i c h a |
alijifungia	a l i j i f u n g i a |
alijifunza	a l i j i f u n z a |
alijikaza	a l i j i k a z a |
alijisikia	a l i j i s i k i a |
alijisirikia	a l i j i s i r i k i a |
alijitolea	a l i j i t o l e a |
alijitupa	a l i j i t u p a |
alijivunja	a l i j i v u n j a |
alijiweka	a l i j i w e k a |
alijua	a l i j u a |
alijulisha	a l i j u l i s h a |
alijuwa	a l i j u w a |
alika	a l i k a |
alikadiria	a l i k a d i r i a |
alikamata	a l i k a m a t a |
alikamataka	a l i k a m a t a k a |
alikamatwa	a l i k a m a t w a |
alikaribia	a l i k a r i b i a |
alikata	a l i k a t a |
alikataa	a l i k a t a a |
alikatala	a l i k a t a l a |
alikimbia	a l i k i m b i a |
aliko	a l i k o |
alikomalia	a l i k o m a l i a |
alikosa	a l i k o s a |
alikua	a l i k u a |
alikubali	a l i k u b a l i |
alikufa	a l i k u f a |
alikufia	a l i k u f i a |
alikuja	a l i k u j a |
alikula	a l i k u l a |
alikuona	a l i k u o n a |
alikusanya	a l i k u s a n y a |
alikuta	a l i k u t a |
alikutanana	a l i k u t a n a n a |
alikutolea	a l i k u t o l e a |
alikuwa	a l i k u w a |
alikuwaka	a l i k u w a k a |
alikuya	a l i k u y a |
alikwala	a l i k w a l a |
alikwambia	a l i k w a m b i a |
alilaani	a l i l a a n i |
alilala	a l i l a l a |
alilalamika	a l i l a l a m i k a |
alilalisha	a l i l a l i s h a |
alilamuka	a l i l a m u k a |
alilaumiwa	a l i l a u m i w a |
alilazimika	a l i l a z i m i k a |
alilazimishwa	a l i l a z i m i s h w a |
alilelewa	a l i l e l e w a |
alilia	a l i l i a |
alilomba	a l i l o m b a |
alilota	a l i l o t a |
alimeti	a l i m e t i |
alimkosoa	a l i m k o s o a |
alimlilia	a l i m l i l i a |
alimpeleka	a l i m p e l e k a |
alimsaidia	a l i m s a i d i a |
alimuacha	a l i m u a c h a |
alimubaka	a l i m u b a k a |
alimubusu	a l i m u b u s u |
alimuita	a l i m u i t a |
alimukubalia	a l i m u k u b a l i a |
alimukuta	a l i m u k u t a |
alimuleta	a l i m u l e t a |
alimuletea	a l i m u l e t e a |
alimuomba	a l i m u o m b a |
alimuona	a l i m u o n a |
alimupa	a l i m u p a |
alimupiga	a l i m u p i g a |
alimurudilia	a l i m u r u d i l i a |
alimusaidia	a l i m u s a i d i a |
alimusalimia	a l i m u s a l i m i a |
alimusomea	a l i m u s o m e a |
alimuua	a l i m u u a |
alimuuliza	a l i m u u l i z a |
alimuumba	a l i m u u m b a |
alimwambia	a l i m w a m b i a |
alimwandikiaka	a l i m w a n d i k i a k a |
alimwangalia	a l i m w a n g a l i a |
alimwona	a l i m w o n a |
alinaguka	a l i n a g u k a |
alinde	a l i n d e |
alinialika	a l i n i a l i k a |
aliniambia	a l i n i a m b i a |
aliniambilia	a l i n i a m b i l i a |
aliniangalia	a l i n i a n g a l i a |
alinibeba	a l i n i b e b a |
alinidanganya	a l i n i d a n g a n y a |
alinifasiria	a l i n i f a s i r i a |
alinifundisha	a l i n i f u n d i s h a |
aliniita	a l i n i i t a |
alinijibia	a l i n i j i b i a |
alinikumbusha	a l i n i k u m b u s h a |
alinilazimisha	a l i n i l a z i m i s h a |
alinipa	a l i n i p a |
alinipatia	a l i n i p a t i a |
alinipigia	a l i n i p i g i a |
alinisababishia	a l i n i s a b a b i s h i a |
alinishangaza	a l i n i s h a n g a z a |
alinishukuru	a l i n i s h u k u r u |
alinitishia	a l i n i t i s h i a |
alinitumia	a l i n i t u m i a |
aliniuliza	a l i n i u l i z a |
aliniumiza	a l i n i u m i z a |
alioa	a l i o a |
aliomba	a l i o m b a |
aliona	a l i o n a |
aliondoka	a l i o n d o k a |
alionekana	a l i o n e k a n a |
alionesha	a l i o n e s h a |
aliongea	a l i o n g e a |
aliongelea	a l i o n g e l e a |
aliongeza	a l i o n g e z a |
aliongezeka	a l i o n g e z e k a |
aliongozaka	a l i o n g o z a k a |
alionya	a l i o n y a |
alionyesha	a l i o n y e s h a |
alipambana	a l i p a m b a n a |
alipana	a l i p a n a |
alipanda	a l i p a n d a |
alipandishwa	a l i p a n d i s h w a |
alipanga	a l i p a n g a |
alipashwa	a l i p a s h w a |
alipata	a l i p a t a |
alipatia	a l i p a t i a |
alipatikana	a l i p a t i k a n a |
alipatwa	a l i p a t w a |
alipay	a l i p a y |
alipeleka	a l i p e l e k a |
alipelekwa	a l i p e l e k w a |
alipenda	a l i p e n d a |
alipendana	a l i p e n d a n a |
alipendekeza	a l i p e n d e k e z a |
alipewa	a l i p e w a |
alipiga	a l i p i g a |
alipigania	a l i p i g a n i a |
alipigia	a l i p i g i a |
alipigwa	a l i p i g w a |
alipita	a l i p i t a |
alipitia	a l i p i t i a |
alipitisha	a l i p i t i s h a |
alipo	a l i p o |
alipokea	a l i p o k e a |
alipokuwa	a l i p o k u w a |
alipomuona	a l i p o m u o n a |
alipona	a l i p o n a |
aliponyokea	a l i p o n y o k e a |
alipoona	a l i p o o n a |
aliporudi	a l i p o r u d i |
aliporudia	a l i p o r u d i a |
alipotea	a l i p o t e a |
alipoteaka	a l i p o t e a k a |
alipoteza	a l i p o t e z a |
alirudi	a l i r u d i |
alirudia	a l i r u d i a |
alirudilia	a l i r u d i l i a |
alirudisha	a l i r u d i s h a |
aliruhusu	a l i r u h u s u |
aliruka	a l i r u k a |
alisababisha	a l i s a b a b i s h a |
alisafiri	a l i s a f i r i |
alisahau	a l i s a h a u |
alisahini	a l i s a h i n i |
alisaidia	a l i s a i d i a |
alisaini	a l i s a i n i |
alisamehe	a l i s a m e h e |
alisema	a l i s e m a |
alisemaka	a l i s e m a k a |
alisha	a l i s h a |
alishageuka	a l i s h a g e u k a |
alishaka	a l i s h a k a |
alishakuwa	a l i s h a k u w a |
alishangaa	a l i s h a n g a a |
alishangala	a l i s h a n g a l a |
alishangazwa	a l i s h a n g a z w a |
alishauri	a l i s h a u r i |
alishimama	a l i s h i m a m a |
alishinda	a l i s h i n d a |
alishindwa	a l i s h i n d w a |
alishtuka	a l i s h t u k a |
alishuka	a l i s h u k a |
alishusha	a l i s h u s h a |
alishushwa	a l i s h u s h w a |
alishutumu	a l i s h u t u m u |
alisifia	a l i s i f i a |
alisikia	a l i s i k i a |
alisikitika	a l i s i k i t i k a |
alisoma	a l i s o m a |
alisomea	a l i s o m e a |
alitabiri	a l i t a b i r i |
alitaja	a l i t a j a |
alitaka	a l i t a k a |
alitangaza	a l i t a n g a z a |
alitayarisha	a l i t a y a r i s h a |
alitekwa	a l i t e k w a |
alitembea	a l i t e m b e a |
alitembelea	a l i t e m b e l e a |
alitemea	a l i t e m e a |
alitengeneza	a l i t e n g e n e z a |
alitengenezea	a l i t e n g e n e z e a |
alitereza	a l i t e r e z a |
alitia	a l i t i a |
alitimiza	a l i t i m i z a |
alitishia	a l i t i s h i a |
alitoa	a l i t o a |
alitoka	a l i t o k a |
alitongozwa	a l i t o n g o z w a |
alitosha	a l i t o s h a |
alitowa	a l i t o w a |
alitualika	a l i t u a l i k a |
alitubu	a l i t u b u |
alitukataza	a l i t u k a t a z a |
alituliza	a l i t u l i z a |
alituma	a l i t u m a |
alitumia	a l i t u m i a |
alitumika	a l i t u m i k a |
alitumikaka	a l i t u m i k a k a |
alitumwa	a l i t u m w a |
alitunga	a l i t u n g a |
alitupa	a l i t u p a |
alitupatia	a l i t u p a t i a |
alitupiliwa	a l i t u p i l i w a |
alitutumia	a l i t u t u m i a |
alituumba	a l i t u u m b a |
aliua	a l i u a |
aliuawa	a l i u a w a |
aliukuwa	a l i u k u w a |
aliuliza	a l i u l i z a |
aliumba	a l i u m b a |
aliunda	a l i u n d a |
aliuuza	a l i u u z a |
aliuwa	a l i u w a |
aliuza	a l i u z a |
aliuzia	a l i u z i a |
aliuzisha	a l i u z i s h a |
alivunja	a l i v u n j a |
alivunjika	a l i v u n j i k a |
alivuta	a l i v u t a |
alivyo	a l i v y o |
aliwaambia	a l i w a a m b i a |
aliwahi	a l i w a h i |
aliwalipa	a l i w a l i p a |
aliwapa	a l i w a p a |
aliwasukuma	a l i w a s u k u m a |
aliwauliza	a l i w a u l i z a |
aliwaumiza	a l i w a u m i z a |
aliwaza	a l i w a z a |
aliweka	a l i w e k a |
aliweza	a l i w e z a |
aliya	a l i y a |
aliye	a l i y e |
aliyehamia	a l i y e h a m i a |
aliyeishi	a l i y e i s h i |
aliyeketi	a l i y e k e t i |
aliyekufa	a l i y e k u f a |
aliyezidiwa	a l i y e z i d i w a |
aliyo	a l i y o |
alizala	a l i z a l a |
alizaliwa	a l i z a l i w a |
alizama	a l i z a m a |
alizaniwa	a l i z a n i w a |
aliziiba	a l i z i i b a |
alizika	a l i z i k a |
alizimisha	a l i z i m i s h a |
alizungumza	a l i z u n g u m z a |
alkol	a l k o l |
all	a l l |
allen	a l l e n |
allergies	a l l e r g i e s |
allison	a l l i s o n |
allo	a l l o |
almasi	a l m a s i |
aloe	a l o e |
along	a l o n g |
alphacov	a l p h a c o v |
alqaida	a l q a i d a |
alqaïda	a l q a ï d a |
alumunium	a l u m u n i u m |
ama	a m a |
amabayo	a m a b a y o |
amanda	a m a n d a |
amande	a m a n d e |
amani	a m a n i |
amarrage	a m a r r a g e |
amazon	a m a z o n |
ambacho	a m b a c h o |
ambako	a m b a k o |
ambalo	a m b a l o |
ambamo	a m b a m o |
ambao	a m b a o |
ambapo	a m b a p o |
ambassade	a m b a s s a d e |
ambatana	a m b a t a n a |
ambatisha	a m b a t i s h a |
ambavyo	a m b a v y o |
ambaye	a m b a y e |
ambayo	a m b a y o |
ambazo	a m b a z o |
ambia	a m b i a |
ambiwa	a m b i w a |
ambiya	a m b i y a |
ambukia	a m b u k i a |
ambukiwa	a m b u k i w a |
ambukizwa	a m b u k i z w a |
ambulance	a m b u l a n c e |
ameanza	a m e a n z a |
ameenda	a m e e n d a |
amefamishwa	a m e f a m i s h w a |
amefata	a m e f a t a |
amefungwa	a m e f u n g w a |
ameimba	a m e i m b a |
ameingia	a m e i n g i a |
amejiunga	a m e j i u n g a |
amekufa	a m e k u f a |
amelapa	a m e l a p a |
ameoa	a m e o a |
amepatikana	a m e p a t i k a n a |
amepewa	a m e p e w a |
amerika	a m e r i k a |
amesema	a m e s e m a |
ameshikwa	a m e s h i k w a |
ameshitakiwa	a m e s h i t a k i w a |
amevutiwa	a m e v u t i w a |
amezungukwa	a m e z u n g u k w a |
amina	a m i n a |
aminé	a m i n é |
amini	a m i n i |
aminika	a m i n i k a |
amiral	a m i r a l |
amkeni	a m k e n i |
ammoniaque	a m m o n i a q u e |
amnesty	a m n e s t y |
amo	a m o |
amosi	a m o s i |
amri	a m r i |
amua	a m u a |
amudanganya	a m u d a n g a n y a |
amuite	a m u i t e |
amupatie	a m u p a t i e |
amusha	a m u s h a |
amushindikize	a m u s h i n d i k i z e |
amusikie	a m u s i k i e |
amutafutaka	a m u t a f u t a k a |
amy	a m y |
ana	a n a |
anaaga	a n a a g a |
anaambukiza	a n a a m b u k i z a |
anaamini	a n a a m i n i |
anaaminia	a n a a m i n i a |
anaamua	a n a a m u a |
anaamuru	a n a a m u r u |
anaanda	a n a a n d a |
anaandika	a n a a n d i k a |
anaangaika	a n a a n g a i k a |
anaangalia	a n a a n g a l i a |
anaangara	a n a a n g a r a |
anaanza	a n a a n z a |
anaanzaka	a n a a n z a k a |
anabeba	a n a b e b a |
anabebaka	a n a b e b a k a |
anabusu	a n a b u s u |
anachagua	a n a c h a g u a |
anachanganyikiwaka	a n a c h a n g a n y i k i w a k a |
anachapaka	a n a c h a p a k a |
anacheka	a n a c h e k a |
anachekea	a n a c h e k e a |
anachekeshaka	a n a c h e k e s h a k a |
anachelewa	a n a c h e l e w a |
anacheza	a n a c h e z a |
anacho	a n a c h o |
anachoka	a n a c h o k a |
anachukia	a n a c h u k i a |
anachukua	a n a c h u k u a |
anachukuliaka	a n a c h u k u l i a k a |
anachunga	a n a c h u n g a |
anachungaka	a n a c h u n g a k a |
anadaganywa	a n a d a g a n y w a |
anadai	a n a d a i |
anadanganya	a n a d a n g a n y a |
anaelewa	a n a e l e w a |
anaeleza	a n a e l e z a |
anaenda	a n a e n d a |
anaendaka	a n a e n d a k a |
anaendelea	a n a e n d e l e a |
anaepatikana	a n a e p a t i k a n a |
anafanana	a n a f a n a n a |
anafanya	a n a f a n y a |
anafanyaka	a n a f a n y a k a |
anafariki	a n a f a r i k i |
anafasiria	a n a f a s i r i a |
anafata	a n a f a t a |
anaficha	a n a f i c h a |
anafika	a n a f i k a |
anafikia	a n a f i k i a |
anafikiria	a n a f i k i r i a |
anafuhaiaka	a n a f u h a i a k a |
anafundisha	a n a f u n d i s h a |
anafungwa	a n a f u n g w a |
anafunika	a n a f u n i k a |
anafunikaka	a n a f u n i k a k a |
anafurahi	a n a f u r a h i |
anafurahiaka	a n a f u r a h i a k a |
anageuka	a n a g e u k a |
anageweza	a n a g e w e z a |
anagonjwa	a n a g o n j w a |
anagundua	a n a g u n d u a |
anagunduaka	a n a g u n d u a k a |
anagusa	a n a g u s a |
anagusaka	a n a g u s a k a |
anaguswa	a n a g u s w a |
anaharakisha	a n a h a r a k i s h a |
anaharibisha	a n a h a r i b i s h a |
anahesabia	a n a h e s a b i a |
anahitaji	a n a h i t a j i |
anahusika	a n a h u s i k a |
anaifanya	a n a i f a n y a |
anaifanyiziyaka	a n a i f a n y i z i y a k a |
anaikala	a n a i k a l a |
anaimbaka	a n a i m b a k a |
anaiona	a n a i o n a |
anaipa	a n a i p a |
anaishi	a n a i s h i |
anaishurulikia	a n a i s h u r u l i k i a |
anaitwa	a n a i t w a |
anajali	a n a j a l i |
anajaribu	a n a j a r i b u |
anajibu	a n a j i b u |
anajificha	a n a j i f i c h a |
anajifurahisha	a n a j i f u r a h i s h a |
anajigeuza	a n a j i g e u z a |
anajigongaka	a n a j i g o n g a k a |
anajikazaka	a n a j i k a z a k a |
anajilaumu	a n a j i l a u m u |
anajipata	a n a j i p a t a |
anajishtaki	a n a j i s h t a k i |
anajisikia	a n a j i s i k i a |
anajisumbua	a n a j i s u m b u a |
anajitayarisha	a n a j i t a y a r i s h a |
anajitetea	a n a j i t e t e a |
anajitolea	a n a j i t o l e a |
anajiuliza	a n a j i u l i z a |
anajiunga	a n a j i u n g a |
anajivunia	a n a j i v u n i a |
anajua	a n a j u a |
anajulikana	a n a j u l i k a n a |
anakamata	a n a k a m a t a |
anakamta	a n a k a m t a |
anakaribia	a n a k a r i b i a |
anakasirika	a n a k a s i r i k a |
anakatala	a n a k a t a l a |
anakatisha	a n a k a t i s h a |
anakatwa	a n a k a t w a |
anakimbia	a n a k i m b i a |
anakimbiaka	a n a k i m b i a k a |
anakohola	a n a k o h o l a |
anakomala	a n a k o m a l a |
anakosea	a n a k o s e a |
anakua	a n a k u a |
anakubali	a n a k u b a l i |
anakuchunga	a n a k u c h u n g a |
anakufa	a n a k u f a |
anakufanana	a n a k u f a n a n a |
anakufunga	a n a k u f u n g a |
anakuja	a n a k u j a |
anakukimbia	a n a k u k i m b i a |
anakula	a n a k u l a |
anakulaka	a n a k u l a k a |
anakulisha	a n a k u l i s h a |
anakumbuka	a n a k u m b u k a |
anakungoja	a n a k u n g o j a |
anakupinga	a n a k u p i n g a |
anakutana	a n a k u t a n a |
anakutongoza	a n a k u t o n g o z a |
anakutukana	a n a k u t u k a n a |
anakuuzia	a n a k u u z i a |
anakuwa	a n a k u w a |
anakuwaka	a n a k u w a k a |
anakuya	a n a k u y a |
anakwama	a n a k w a m a |
anakwambia	a n a k w a m b i a |
analala	a n a l a l a |
analalamika	a n a l a l a m i k a |
analenga	a n a l e n g a |
analewa	a n a l e w a |
analgésie	a n a l g é s i e |
analia	a n a l i a |
analindaka	a n a l i n d a k a |
analumia	a n a l u m i a |
anamaliza	a n a m a l i z a |
anamalizia	a n a m a l i z i a |
anampeleka	a n a m p e l e k a |
anampenda	a n a m p e n d a |
anamuandalia	a n a m u a n d a l i a |
anamufikishiaka	a n a m u f i k i s h i a k a |
anamufunga	a n a m u f u n g a |
anamukasirikia	a n a m u k a s i r i k i a |
anamungojea	a n a m u n g o j e a |
anamunyanganya	a n a m u n y a n g a n y a |
anamuomba	a n a m u o m b a |
anamuona	a n a m u o n a |
anamusaidia	a n a m u s a i d i a |
anamushinda	a n a m u s h i n d a |
anamutolea	a n a m u t o l e a |
anamwambia	a n a m w a m b i a |
anangojea	a n a n g o j e a |
ananiambia	a n a n i a m b i a |
ananiangaikia	a n a n i a n g a i k i a |
ananibanabana	a n a n i b a n a b a n a |
ananielewa	a n a n i e l e w a |
ananifurahisha	a n a n i f u r a h i s h a |
ananihakikishia	a n a n i h a k i k i s h i a |
ananiita	a n a n i i t a |
ananiogopesha	a n a n i o g o p e s h a |
ananiona	a n a n i o n a |
