original,predicted,wer:22.13,cer:6.85,num_tokens,num_chars,substitutions,insertions,deletions
soki olandi elimboli ya bakɔkɔ nzambe atia mibeko oyɔ etambusaka mokili,soki olali elimboli ya bakɔkɔ nzambe atiya mibeko oyɔ etambusaka mokili,2,3,11,61,2,0,0
ngai nazodondwa,ngai nazo dodon,2,3,2,14,1,1,0
ayebi mongongo wana malamu,ayebi mongongo wana malamu,0,0,4,23,0,0,0
yɔ obosani que biso mutu tobanda masolo ya bavilla,yɔ obosani que biso mɔtɔ tobandi masolo ya bavila,3,4,9,42,3,0,0
na ntaka na bametre mibale atelemi,na ntaka na bametre mibale atelemi,0,0,6,29,0,0,0
bino ko  boza mikieee,bino ko bozami ke,2,3,4,17,2,0,0
ayebi nanu te nini akosala soki abalusi miso na ye po na kotala mɔtɔ oyɔ azalaki kobenga ye na lofundu nyɔnso,ayebi nanu te nini akosala soki ya balusi miso na ye mpo na kotala mɔtɔ oyɔ azalaki kobenga ye na lofuzo nyɔnso,4,5,21,89,3,1,0
lokola mosisa ya nsɔni bakata ye wana abendi pe kiti afandi,lokola mosukaa ya nsɔni makata ye wana abendi pe kiti pe afandi,3,6,11,49,2,1,0
bopotani na kabila kuna atie yɔ na mopanzi mbala moko okomi mutu ya opposition,opotaki na kabila akuna atshoyo mopanzi mbala moko ko me mutɔ oposition,9,15,14,65,7,0,2
kuna na kimbanseke pere na bino azalaki koloba ke azali nani,kuna na kimbasani ku per na bino azalaki koloba que azali nani,4,8,11,50,3,1,0
otangaki yango wapi,otangaki yango wapi,0,0,3,17,0,0,0
ndako ya mbεlε,ndako ya mbεlε,0,0,3,12,0,0,0
tshotsho alingi alakisa kimobali akiti na motuka,thoto alingi alakisa kimobali akiti na motuka,1,3,7,42,1,0,0
er wana kimbanseke ezalaki mingi bamboka ya bakongo,pere wana cimansece ezalaki mingi bamboka ya bakongo,2,5,8,44,2,0,0
nakozala te mokolo kongo ekotelema,nakozala te mokolo omi kotelema,2,5,5,30,2,0,0
esengi kaka ndenge ndeko eliezer alobaka  benda molayi tii bakolεmba,esangi kaka ngdenge ndekoelezer ralobaka banda molayi tii bakolemba,7,6,10,58,6,0,1
atuni muji balobi na ye ete ayaki kaka na ntɔngɔ kotika bafungola pe akeyi,atungi muji balobi na ye ete ayaki kaka na ntɔngɔ kotikafungola mpe akeyi,4,4,14,61,3,0,1
abeleli mama moko azalaki kolekana,abeleli mama moko azalaki kolekana,0,0,5,30,0,0,0
tokolangwa na lar na yɔ te,tolangwana lar na yɔ ta,3,3,6,21,2,0,1
na nkoto mibale na zomi na nsambo lopango ya suka etikalaki yango wana,na nkoto mibale na zomi na sambo lopango ya suka etikalaki yango wana,1,1,13,58,1,0,0
po na yango moflato to matolo ezosala ete mɔtɔ azali na makanisi ya malamu ya kopesa kasi abombi yango,po na yango mofalatoto matolo ezosala ete mɔtɔ azali na makanisi ya malamu ya kopesa kasi abombi yango,2,1,19,84,1,0,1
kimya oyɔ ya ye,kimya oyɔ ya ye,0,0,4,12,0,0,0
tika koloba boye,tika koloba boye,0,0,3,14,0,0,0
mokonzi nzela oyɔ azali kolanda ezali malamu te,mokonzi nzela oyɔ azalaki kolanda ezalaki malamu te,2,4,8,40,2,0,0
soki osali bongo te ozali zoba,soki osali bongo te ozali zoba,0,0,6,25,0,0,0
akoti na epemelo ya lokumu ya libanda ya pepo ya ndjili,akoti na epemelo ya lokumu ya libanda ya pepo ya ndjili,0,0,11,45,0,0,0
bana ya barumbu bakabwani na kondongwana,bana ya barumbu bakabwani na kodongwana,1,1,6,35,1,0,0
mere na biso kutu azobeta lisolo ke tangu sukuma ya lumumba ezosalama pere atambola zambazamba,mer na biso kutu azobeta lisolo que tangu sukuma ya lumumba ezosalama per atambola zambazamba,3,4,15,80,3,0,0
excellence azalaki na mobembo na libanda,excellance azalaki na mobembo na libanda,1,1,6,35,1,0,0
yɔ pe ozalaka mwana ya barumbu,yɔ pe ozalaka mwana ya marombo,1,3,6,25,1,0,0
uta mokolo wana po na jeannine mosolo ezanga bolingo efandaka na epemelo wana,uta mokolo wana po na jeannine masolo ezanga bolingo efandaka na epemelo wana,1,1,13,65,1,0,0
tozobeta babale na butu ndeko,tozobeta babali na butu ndeko,1,1,5,25,1,0,0
na bapanzi sango na bato bango bayambaka balobaka makambu ezanga mɔtɔ na makolo,na bapanze ya sango na bato bango bayambaka balobaka makambo ezanga moto na makolo,4,6,13,67,3,1,0
tango asilisi kolia likanisi eyeli ye,tango asilisi kolia likanisi eyeli ye,0,0,6,32,0,0,0
bafinga ye na mpwasa,bafinga ye la mpwasa,1,1,4,17,1,0,0
oyɔ ya kobela opesi mbɔngɔ ya lopitalo oyɔ ya mbɔngɔ ya kelasi opesi oyɔ bazali na nzala opesi,oyɔ ya kobela opesi mbɔngɔ ya lopitalo oyɔ ya mbɔngɔ ya kelasi pesi oyɔ bazali na nzala opesi,1,1,18,77,1,0,0
obandaki awa oo bino batu ya chantier mitano,tobanda ki awa oyɔ bino bato ya cinq chante,6,15,8,37,5,1,0
azosambwisa ngai na miso ya bato,ozosambwisa ngai na miso ya bato,1,1,6,27,1,0,0
akonzi baposa ya kolela oyɔ ezalaki ko matela ye na miso,akonzi ba mposa ya kolela oyɔ ezalaki komatela ye na miso,4,1,11,46,2,1,1
oyebi yango malamu,oyebi yango malamu,0,0,3,16,0,0,0
akobi na kolobaka ete soki bobwakisi ngai bokotiya nani,akobi nakoloba ete soki bobwakisi ngai bokotiya nani,2,2,9,47,1,0,1
kompani omonaki ya kotongela biso kompani ya kindumba,kompani omonaki ya kotongela biso kompani ya kindumba,0,0,8,46,0,0,0
liputa na elongi ya excellence apangusi ye mɔtɔki,liputa na elongi ya excellence apangisi ye mɔtɔ te,3,3,8,42,2,1,0
bokasa tala ndenge ekoma,bokasa tala ndenge ekoma,0,0,4,21,0,0,0
na mobulu wana mokumbi amonaki te ete libulu moko ya monene ezalaki na matakanelo ya bokasa pe kabambare,na mobulu wana mokumbi amonaki te ete libulu moko ya monene ezalaki na mataka elo ya a bokasa,5,13,18,87,1,2,2
tokolangwa na moins cher,tolangwana mwi she e,4,6,4,21,4,0,0
bamomi tout bakomaki bamomi na yɔ,bamomi tu bakoma ye bamomi na yɔ,3,4,6,28,2,1,0
tata oyɔ ya pawu soki kaka vide emonani amamoli pawu,tata oyɔ ya pawu soki kaka vile emonani amamoli pawu,1,1,10,43,1,0,0
tshotsho pe makambo ya politiki eyeli na elulu azwi lisusu tango ya koluka muji te,tshotho pe makambo ya politiki eyeli na elulu azwi lisusu ntango ya koluka moji te,3,3,15,68,3,0,0
otanga na ecole nini,otanga na ecol nini,1,1,4,17,1,0,0
po ndelo oyɔ mwananyoka abongisaki ndako wana oza na likanisi te,po nzelo oyɔ mwana nyoka abongusaki ndako wana aza na likanisi te,5,3,11,54,4,1,0
akangisa commissionnaire kasi commissionnaire ayebi te nini akoyebisa muji,akangisa commisionnaire kasi commisionnaire ayebi te nini akoyebisa mogen,3,6,9,66,3,0,0
boki nasombi ezali kaka luzitu bino bozali na vieux na ngai bosimbi masolo,boki nasombi ezali kaka lozitu bino bozali naviou na ngai bosimbi masolo,3,3,13,62,2,0,1
bana ya ituri bazangi bamama basi ya beni bazangi mibali mibali ya kasayi bazangi basi,bana ya etul bazangi bamama basi yabene bazangi mibali mibali ya kazali bazangi bafi,5,7,15,72,4,0,1
mbɔngɔ atikalaki na yango akeyi na ye na yaounde na kamerun,mbɔngɔ atikalaki na yango akeyi na ye na yawunde na cameromt,2,5,11,49,2,0,0
monano ya suka monano ya suka nayebi lisusu nzela nakoleka te monano ya suka,monano ya suka monano ya suka nayebi lisusu nzela nakoleka te monano ya suka,0,0,14,63,0,0,0
tango ayei kozonga lisolo ya barumbu esili,ntango ayeyi kozonga lisolo ya barumbu esili,2,2,7,36,2,0,0
smartphone oyɔ bana ya goma na bukavu bakɔkɔka kosomba te,smarte fone oyɔ bana ya goma na bukavu bakokoka kosomba te,3,4,10,48,2,1,0
mpiaka ekozinga yɔ ndenge moko na baninga nyɔnso oyɔ yɔ omɛlaki bambɔgɔ na bango,piaka ekozenga yɔ ndenge moko na baninga nyɔnso oyɔ yɔ omelaki bambɔgɔ na bango,3,3,14,67,3,0,0
tshotsho kodiongo asutuki,tshotsho kodiongo asutuki,0,0,3,23,0,0,0
makanisi ya quartier beau marche pe ebimaki,makanisi ya quartie ebomarche pe ebimaki,3,4,7,37,2,0,1
tii na ndenge eyaki kolongwa otraco pe ekomaki onatra,tii na ndenge eyaki kolongwa otrapont pe ekomaki natra,2,4,9,45,2,0,0
afandaka lopango monene kaka ye moko,afandaka lopango monene kaka ye moko,0,0,6,31,0,0,0
soki ezalaki tangu ya kimya nde jeep ya bana mura elɔkɔteli ngai bango awa bakɛndɛ konyɔngama na ndenge ya mokε te,soki ezalaki tango ya kimia nde djip ya bana mula elokoteli ngai bango awa bakende konyɔngama na ndenge ya mokε te,6,10,21,94,6,0,0
atelemi ye wana akei na epayi ya kosuba,atelemi ye wana akeyi na epayi ya kosuba,1,1,8,32,1,0,0
bomoyi ya tshotsho kodiongo esuki na ngonga oyɔ azalaki kozela te,bomoyi ya tshotsho kodiongo esuki na ngonga oyɔ azalaki kozela te,0,0,11,55,0,0,0
eleki mwa mikolo tshotsho ameseni na kozala te ya muji,eleki mwa mikolo djotio ameseni na kozala te ya muji,1,5,10,45,1,0,0
telema kɛndɛ,tee nakendɛ,2,3,2,11,2,0,0
abalusi miso nsima abalusi nzoto mobimba,abalusi miso sema abalusi nzoto mobimba,1,2,6,35,1,0,0
molunge lokola ezalaki makasi bapeliseli ye etindamalili,mulungi lokola ezalaki makasti bapekiseli ye etinda ma lebni,6,7,7,50,4,2,0
nsima na yango okoyoka mɔtɔ nyɔnso koloba antuka mboka oyɔ ekobonga te,nsima na yango koyoka mɔtɔ nyɔnso akoloba antuka mboka oyɔ ekobonga te,2,2,12,59,2,0,0
na motema amilobeli tala bambendre oyɔ kaka po eza tangu ya vote,na motema amilobeli tala bambεnzε oyɔ kaka po eza tango ya vote,2,5,12,53,2,0,0
auguy amoni ndenge bamvula tuku mibale ya bomoyi naye ekɛnda na fulu,odgi amoni ndenge bamvula ntuku mibale ya bomoyi na ye ekenda na fulu,5,6,12,57,4,1,0
lobi na yango excellence ayibi mbɔngɔ elεngεlamaki po na kobongisa balabala moko na engumba kikwit,lobi na yango excellance ayibi mbɔngɔ elengelamaki po na kobongisa balabala moko na engumba kikwiti,3,4,15,84,3,0,0
otekili masta na yɔ asimba staff mawa trop,otikili masta na yɔ asimbastaf mawa tro,4,3,8,35,3,0,1
akoma pe nsɔmɔ na kosala kitoko ya bandako,akoma pe nsɔmɔ ya kosala kitoko ya bandako,1,1,8,35,1,0,0
yɔ ozali mwana ya barumbu yɔ,yɔ ozali mwana ya balumbuyo,2,2,6,23,1,0,1
mɔtɔ ya liboso afingaki ye bongo ezalaki mama ya bana na ye abosanaka yango te,mɔtɔ ya liboso afingai ye bongo ezalaki mama na bana na ye abosanar yango te,3,4,15,64,3,0,0
kongo ekobosana yɔ ekobosana tii na kombo na yɔ,kongo ekobosana yɔ ekobosana tii na nkombo na yɔ,1,1,9,39,1,0,0
moyi ezalaki kongala makasi,moyi ezalaki kongana makasi,1,1,4,24,1,0,0
tshotsho kodiongo motema ekiti,tshotshoka diongo motema ekiti,2,1,4,27,2,0,0
ayebi que soki afandisi masolo na barumbu te na parti na bango asambwe,ayebi te soki afandisi masolo na balumbu te na parti na bango asambwea,3,4,13,58,3,0,0
na ndenge ya respect petit tangu akoti na esika bakulutu bazali ezosenga mwa nsamba ekita,na ndenge ya resper peti tango akoti na esika bakulutu bazali ezosenga mwa samba ekita,4,5,15,75,4,0,0
po eyebana sukasuka bakolongola ye,po eyebana sukasuka bakolongola ye,0,0,5,30,0,0,0
ameli mayεlε pe bwanya na ye,ameli mayεlε pe bwana na ye,1,1,6,23,1,0,0
atali ndaku asepeli na yango makasi,atali ndako asepeli na ngoma kalsi,3,4,6,30,3,0,0
oyɔ mabele ya kimmbangu mabele ya lumumba,oyɔ bamelakimbango mabela ya lumumba,4,7,7,35,2,0,2
bana beau marche balobi bango nde bapesa genre na barumbu,bana ya bomarche balobi bango nde bapesa jeanre na barumbu,3,6,10,48,3,0,0
excellence amilobi ndenge ezali,excelance amilobi ndenge ezalion,2,4,4,28,2,0,0
na lingomba na bango tshotsho kodiongo alobi ete ye alingi kotiya libaya kaka na ma campagne,na lingomba na bango tshotho ko diongo alobi ete ye alingi kotiya libaya kaka na ma campagne,3,1,16,77,2,1,0
mwananyoka azwi mokano ya koteka lopango yango alimwa na ye na circuit,mwananyoka azwi mokano ya koteka na lopango yango ali mwana ye ne na serpi,5,9,12,59,3,2,0
asimbi ye na loboko na makasi nyɔnso po atelema,asimbi ye na loboko na makasi nyɔnso po atelema,0,0,9,39,0,0,0
naloba nini,naloba nini,0,0,2,10,0,0,0
longwa wana mosika na ngai elima mabe,longwa wana mosika na ngai elima mabe,0,0,7,31,0,0,0
mɔtɔ pe akotelemela likanisi yango azali te,mɔtɔ pe a kotelemela likanisi yango azali te,2,0,7,37,1,1,0
ayebisi na barman  barman memela baprêtre mwa boki awa ngai nakofuta,ayebisi barman bamagn memela bapretre moboki awa ngai nakofuta,5,7,11,57,3,0,2
yɔ na mobeko ozoluka kwanga po na mboka na yɔ,yɔ na mobeko ozoluka cwanga po na mboka na yɔ,1,1,10,36,1,0,0
akenda atika elaka te,akɛnda atika elaka te,1,1,4,18,1,0,0
exellence mosusu pe ayibi soki mbɔngɔ ya kotɔnga soki lopitalo asombi yango na milio moko,excelance mosusu mpe ayibi soki mbɔngɔ ya kotonga soki lopitalo asombi yango na ai milɔ,5,12,15,75,5,0,0
soki mbɔngɔ ya primus esili biso tokosomba agene,soki moko akolemisa esili biso tokosomba egene,4,13,8,41,3,0,1
amoni elongi ya mama na bango akufa motema na ye ekiti,amoni elongi ya mama na bango akufa i motema na ye ekiti,1,1,11,44,0,1,0
naweli bokonzi na kisasa nazwi tango te ya kobatela yɔ,nawele bokonzi na kinshasa nazwi ntango te ya kobatela yɔ,3,4,10,45,3,0,0
baluka bavilla bazwa bavilla,baluka bavilla baza ba villa,3,1,4,25,2,1,0
makambo na bino ngai moko nakomema yango,makambo na bino ngai moko nakomema yango,0,0,7,34,0,0,0
soki alobi bongo mokonzi akolongola ye na ezungulukelo,soki alobi bongo mokonzi akolongola ye na ezungulukelo,0,0,8,47,0,0,0
bazelaki yɔ okɛndɛ koboma bato po oya koleisa bango mbɔngɔ ya botutu,bazelaki yɔ okɛndɛ koboma bato po oya kolekisa bango mbɔngɔ ya bututu,2,2,12,57,2,0,0
azalaki koloba azalaki kopusana pεnεpεnε ya motuka yango,azalaki koloba azalaki kopusana pelε pεnε ya motuka yango,2,2,8,49,1,1,0
yɔ okanisi toyebi yɔ te,yɔka nzi toyebi yɔ te,2,3,5,19,2,0,0
atie bato ya kofutela,atie bato ya kofutela,0,0,4,18,0,0,0
na tango wana commune bazalaki kobenga yango zone,na tango wana kommine bazalaki kobenga yango zome,2,3,8,42,2,0,0
ye azoluka kwanga po na mboka na ye,soki okomi koloka po na yɔ moko etali yɔ,7,21,8,28,6,1,0
mvula nyɔnso akoma koteka lopango moko,mvula nyɔnso akoma koteka lopango moko,0,0,6,33,0,0,0
soki okoti na kati ya lopango lokola nde bamemi yɔ na ndɔtɔ na miami beach na amerika,soki okoti na lopango lokola nde bamemi yɔ na ndoto na mia mibiki na amerika,5,12,17,69,3,0,2
sikoyɔ na congo tozali na eleko ya  mwana na mwana azwa partie na ye abendana,sikoyɔ na kongo tozali na elɔkɔ ya mwana na mwana azwa parti na ye abendana,3,4,15,62,3,0,0
akuti lopango polele bato bazali kokomba kokata matiti kosukola ndako,akuti lopango polele bato bazali kokomba kokata matiti kosukola ndako,0,0,10,60,0,0,0
baluka maboma bazwa yango,baluka maboma bazwa yango,0,0,4,22,0,0,0
okanisaki bongo,okanisaki bongo,0,0,2,14,0,0,0
tozongela lisolo na biso,tozongela lisolo na biso,0,0,4,21,0,0,0
bomɔtɔ na bango balongolaki,bomɔtɔ na bango balongolaki,0,0,4,24,0,0,0
balabala mobimba ebukanaki na milolo ya kowolola yɔ,balabala mobimba ebukanaki na milolo ya koolola yɔ,1,1,8,44,1,0,0
kaka mongongo ya pepe kalle ezonganga na baffle osilisi banganda ya paris oo,kaka mongongo peper cale azogangala bafe osilisi banganda ya pario,8,12,13,64,5,0,3
na tango wana muji asombi mapango misato na kinshasa,na tango wana muji asombi mapango misato na kinshasa,0,0,9,44,0,0,0
muji asimbi efuku moko ya badolar,muji asimbe e fuku moko ya badolar,3,1,6,28,2,1,0
tshotsho kodiongo mɔtɔki ya mpio ebandi kotanga,tshotsho kali ongo motoki ya pio ebandi kotanga,4,5,7,41,3,1,0
balabala na kikwit batongi te,na balabala na kikuti batongi te,2,5,5,25,1,1,0
bozongi kongo ndenge bozalaka mabɔkɔ mpamba,bozongi congo ndenge bozalaka mabɔkɔ mpamba,1,1,6,38,1,0,0
oyɔ ya kolongola retroviseur alongoli retroviseur oyɔ ya kolongola pine alongoli pine oyɔ ya kolongola pare-brise alongoli parebrise,oyɔ ya kolongola retrovisere alongoli retro viseret oyɔ ya kolongola pine alongoli pine oyɔ ya kolongola patrise alongoli patrise,5,12,18,115,4,1,0
na hotel na yɔ batouriste bayaka,na otel na yɔ batoliste bayaka,2,3,6,27,2,0,0
soki kaka polele pawu,soki kaka polele pawu,0,0,4,18,0,0,0
nazali elonga ngai muji mwana ya vieux cesar,nazali elonga ngai mudji mwana ya viocezar,3,5,8,37,2,0,1
ayebi pe malamu tina nini azali kobenga ye,ayebi pe malamu tina nini azali kobenga ye,0,0,8,35,0,0,0
lεlɔ oyɔ ozokufa nazotala te,lεlɔ oyɔ ozokufa nazotala te,0,0,5,24,0,0,0
ayebisa tshotsho mokolo oyɔ baboti na ye bakowuta mbuji mayi,ayebisa thotso mokolo oyɔ baboti na ye bakowuta mbugemayi,3,4,10,51,2,0,1
nalukaka mbɔngɔ po na yɔ na bana,nalokaka mbɔngɔ po na yɔ na bana,1,1,7,26,1,0,0
tshotsho kodiongo alobi te nalongwa barumbu kala nazonga kutu kuna te tolongwaki kuna tango tozalaki bana mike,tshotsho kodiongo alobi te nalongwa baumbukala nazonga kutu kuna te tolongwaki kuna tango tozalaki bana mayi,3,4,17,94,2,0,1
afandi mwa kimya azongisi mokongo na nsima,afandi mwa kimya azongisi mokongo na nsima,0,0,7,36,0,0,0
azwi elongi atelemisi yango na lolendo ya kimpa vita,azwi elongi atelemisi yango na lolendo ya kimpavita,2,0,9,44,1,0,1
excellence asilisi kolia fufu na ngayi ngayi ya mosaka na nyama ya zamba,excellanpe asilisi kolia cufut na ngai ngai ya mosaka ma nyama zambaki,7,11,13,60,6,0,1
kwiti azalaki na yango esili ye,kweti ezalaki na yango esili ye,2,2,6,26,2,0,0
azalaki na mapango ntuku mibale,azalaki na mapango tuku mibale,1,1,5,27,1,0,0
soki yɔ okomi koluka po na yɔ moko etali yɔ,bakomela yɔ okozanga esika okokɛndɛ kofunda,9,30,10,34,5,0,4
mɔtɔ ya mobutu moko tango kabila oyɔ ya tata akotaki na bokonzi alulaki na ndenge nyɔnso azwa ebonga kasi bakipa ye te,moto ya mobutu moko ntango kabila oyɔ ya tata akotaki na bokonzi alukaki na ndenge nyɔnso azwa ebonga kasi bakipale te,5,5,22,97,4,0,1
bato oyɔ bakonzi basalelaki babwaki kobwakama babwakamaki motema na bango balongolaki,bato oyɔ bakonzi basalelaki babwaki kobwakama babwakanaki motema na bango balongolaki,1,1,11,75,1,0,0
bino nde bapomba,bino nde ba mpomba,2,1,3,14,1,1,0
mbɔngɔ na biso tout bobongisa mboka bolingi te,mbɔnga na biso tu bobongisa mboka bolingi te,2,3,8,39,2,0,0
bato bazalaki kokɛngɛla ye basutuka,bato bazalaki kokengela ye basutuka,1,2,5,31,1,0,0
bilɔkɔ ya kolia,bilɔkɔ ya kolia,0,0,3,13,0,0,0
makambo ya kobomana ezalaki te,makambo ya koboma na ezalaki te,2,0,5,26,1,1,0
mama na ye na bandeko na ye bafandaka kaka na menkao,mama na ye na bandeko na ye bafandaka kaka na mekao,1,1,11,42,1,0,0
tala ndeko telema na malεmbε,tala ndeko telemwa na malεmbε,1,1,5,24,1,0,0
toloba nini,toloba nini,0,0,2,10,0,0,0
moko na matonge mosusu na ndjili oyɔ ya suka na lingwala,moko na matshonge mosusu na ndjili oyɔ ya suka na lingwala,1,2,11,46,1,0,0
tango motema na ye sanduku etuni ye ebongo sikoyɔ nzela oyɔ ebongaki kotɔnga na kikwit,ntango motema na ye sanduku etuli ye ebongo sikoyɔ nzela oyɔ ebongaki kotɔnga na kikwiti,3,3,15,72,3,0,0
ya solo oyɔ mpenza ndako ya ministre mokumbεli masolo,ya solo oyɔ mpenza ndako aministe mokumbεeli masolo,3,3,9,45,2,0,1
kasi baninga balobi na ye  te tozali na mɔtɔ ya solo na barumbu te,kasi baninga balobi na ye te tozali na mɔtɔ ya solo na barumbu te,0,0,14,52,0,0,0
abongisa ndako na bango kasi azonga te,abongisa ndako na bango kasi azonga te,0,0,7,32,0,0,0
kimoninga tango bokonzi bakonzi ezalaka te,kimoninga tango bokonzi bakonzi ezalaka te,0,0,6,37,0,0,0
ngai muji mwana ya mama misi,ngai muzi mwana ya mama mysi,2,2,6,23,2,0,0
ekomi na ngonga moko boye ekomi kosenga kosala maponomi,ekomi na ngonga moko boye ekomi kosenga kosala maponomi,0,0,9,47,0,0,0
azwaki nanu tango ya koyanola te oyɔ ya misato abwakeli ye azotala ye na kati ya miso,azwaki nanu tango ko yanola te oyɔ ya misato abwateli ye azotala ye na kati ya miso,3,3,17,69,3,0,0
mayεlε te nawangana,mayεlε te nawangana,0,0,3,17,0,0,0
ata epumbuki nanu te obeti libaku mutu ekei kotutana na kiti pe okufi,ata pombuki nanu te obeti libaku mɔtɔ akeyi kokotana na kiti pe okufi,4,8,13,57,4,0,0
asalisi mikanda nyɔnso na ndenge esengeli,asalisi mikanda nyɔnso na ndenge esengeli,0,0,6,36,0,0,0
makambo tomilukelaka,makambo tomilukelaka,0,0,2,19,0,0,0
tshotsho kodiongo ye wana akoti na ekala moko na barumbu ezalaki na esika balabala kasayi ekatana na kitega,tshotsho kodiongoye wana akoti na ekala moko na barumbu ezalaki na esika balabala kasai ekatana na kitega,3,1,18,90,2,0,1
ata ndεlε bokopakata,ata mbεlε bokopakaka,2,3,3,18,2,0,0
tata moko azalaki na pawu na ye azalaki kokɛndɛ kotimola nzela po mayi ya mvula eleka ayɔki neti bafingi mama na ye,tata moko azalaki na pawu na ye azalaki kokɛndɛ kotimola nzela po mayi ya mvula eleka ayoki neti bafingi mama na ye,1,1,22,94,1,0,0
lεlɔ nde tokomi baprêtre,lεlɔ nde tokomi bapretre,1,1,4,21,1,0,0
akei kozinda kuna,akeyi kozinda kuna,1,1,3,15,1,0,0
nazwa momeseno ya koyokaka makelele ya kolelaka na yɔ,nazwa momeseno ya koyokaka makelele ya koleka na yɔ,1,2,9,45,1,0,0
bato babaluki babandi kotala mama oyɔ azali koloba na koganga,bato babaluki babandi kotala mama oyɔ azali koloba na koganga,0,0,10,52,0,0,0
mbεlε ezali kongala,mbele ezali kongala,1,2,3,17,1,0,0
ngonga babatelinzoto bapekisa azwi bambata makɔfi bisambeti,ngongabaatali nzoto bapekisa azwi bambata makofi lisambete,4,5,7,53,4,0,0
tshotsho kodiongo akei kobelela po bampɔna ye na barumbu,totio kodiongo akeyi kobetela mpo bapɔna ye na barumbu,5,8,9,48,5,0,0
po otɔnga hotel awa yango nde okanisi que okomi mwana ya barumbu,po otonga otel awa yango nde okanisi ke okomi mwana ya balumbu,4,5,12,53,4,0,0
oyebi te ke banda kala liboso kutu mindεlε baya baluba bazalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo pe bakongo bazalaki kokɛndɛ koteka bilɔkɔ na kasayi,oyebi te ke banda kala liboso kutu mindεlε baya baluba bazalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo pe bakongo bazalaki kokɛndɛ koteka bilɔkɔ na kasani,1,1,25,130,1,0,0
yɔ olingi natanga yango wapi pere na biso ye moko liboso aya kofanda na kinshasa azalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo mbala na mbala,yɔ olingi natanga yango wapi per na biso ye moko liboso aya kofanda na kinshasa azalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo mbala na mbala,1,1,25,118,1,0,0
aboyi kokɛndɛ poto,aboyi kokɛndɛ poto,0,0,3,16,0,0,0
lokola ayebiki koloba kikongo ezalaki koleka na yango,lokola ayebiki koloba ki kango ezalaki koleka nayango,4,1,8,46,2,1,1
sikoyɔ ozoya po tompɔna yɔ,sikoyɔ zwo ay a poto po na yɔ,5,5,5,22,2,3,0
oboyi kolandela makambo na bozindo,oboyi kolandela makambo na bozindo,0,0,5,30,0,0,0
idee ekoya ndenge nini okɛndɛ koluka mutu ya lumumba epayi ya mutu ya kasavubu,idet ekoya ndenge nini okɛndɛ koluka mɔtɔ ya lomumba epayi na mɔtɔ ya kasavubu,5,7,14,65,5,0,0
villa ya dolar nkoto nkama misato,villa ya dolar nkoto nkama misato,0,0,6,28,0,0,0
