a	a |
akomonela	a k o m o n e l a |
akomɛla	a k o m ɛ l a |
akoningana	a k o n i n g a n a |
akonzi	a k o n z i |
akopambola	a k o p a m b o l a |
akopesa	a k o p e s a |
akosaka	a k o s a k a |
akosaki	a k o s a k i |
akosala	a k o s a l a |
akosalisa	a k o s a l i s a |
akosepela	a k o s e p e l a |
akosepelisa	a k o s e p e l i s a |
akosi	a k o s i |
akosikosi	a k o s i k o s i |
akosomba	a k o s o m b a |
akosuba	a k o s u b a |
akosukola	a k o s u k o l a |
akosunga	a k o s u n g a |
akota	a k o t a |
akotaki	a k o t a k i |
akotanga	a k o t a n g a |
akoti	a k o t i |
akotika	a k o t i k a |
akotisa	a k o t i s a |
akotisaki	a k o t i s a k i |
akotisi	a k o t i s i |
akotubela	a k o t u b e l a |
akowuta	a k o w u t a |
akoya	a k o y a |
akoyeba	a k o y e b a |
akoyebisa	a k o y e b i s a |
akoyoka	a k o y o k a |
akoyɔka	a k o y ɔ k a |
akozanga	a k o z a n g a |
akozela	a k o z e l a |
akozonga	a k o z o n g a |
akozongela	a k o z o n g e l a |
akozwa	a k o z w a |
akufa	a k u f a |
akufaka	a k u f a k a |
akufaki	a k u f a k i |
akufi	a k u f i |
akutanaki	a k u t a n a k i |
akutani	a k u t a n i |
akuti	a k u t i |
akutuna	a k u t u n a |
akweyaki	a k w e y a k i |
akweyi	a k w e y i |
akɛndɛ	a k ɛ n d ɛ |
akɛndɛki	a k ɛ n d ɛ k i |
alakisa	a l a k i s a |
alakisi	a l a k i s i |
alala	a l a l a |
alalaka	a l a l a k a |
alalaki	a l a l a k i |
alaleli	a l a l e l i |
alali	a l a l i |
alaliseli	a l a l i s e l i |
alamba	a l a m b a |
alamuka	a l a m u k a |
alamuki	a l a m u k i |
alamusi	a l a m u s i |
alapa	a l a p a |
alapaka	a l a p a k a |
alapi	a l a p i |
alata	a l a t a |
alataka	a l a t a k a |
alataki	a l a t a k i |
alati	a l a t i |
alcool	a l c o o l |
alei	a l e i |
aleka	a l e k a |
alekaka	a l e k a k a |
alekaki	a l e k a k i |
alekani	a l e k a n i |
aleki	a l e k i |
alekisaki	a l e k i s a k i |
alela	a l e l a |
alelaka	a l e l a k a |
aleli	a l e l i |
alembaki	a l e m b a k i |
alembi	a l e m b i |
alengisi	a l e n g i s i |
aleyi	a l e y i |
ali	a l i |
alia	a l i a |
aliaka	a l i a k a |
aliaki	a l i a k i |
alie	a l i e |
alimwa	a l i m w a |
alinga	a l i n g a |
alingaka	a l i n g a k a |
alingaki	a l i n g a k i |
alingi	a l i n g i |
allemagne	a l l e m a g n e |
allons	a l l o n s |
aloba	a l o b a |
alobaka	a l o b a k a |
alobaki	a l o b a k i |
alobelaki	a l o b e l a k i |
alobeli	a l o b e l i |
alobi	a l o b i |
alobisa	a l o b i s a |
alokota	a l o k o t a |
alona	a l o n a |
alongaka	a l o n g a k a |
alongisi	a l o n g i s i |
alongoli	a l o n g o l i |
alongwaki	a l o n g w a k i |
alongwe	a l o n g w e |
alotaka	a l o t a k a |
alube	a l u b e |
aluki	a l u k i |
alulaka	a l u l a k a |
alulaki	a l u l a k i |
amamoli	a m a m o l i |
amata	a m a t a |
amataki	a m a t a k i |
amati	a m a t i |
amatisi	a m a t i s i |
ambabel	a m b a b e l |
ambassade	a m b a s s a d e |
ambassadeur	a m b a s s a d e u r |
ambiance	a m b i a n c e |
ameka	a m e k a |
amekaka	a m e k a k a |
ameki	a m e k i |
ameli	a m e l i |
amelisi	a m e l i s i |
amema	a m e m a |
amemaki	a m e m a k i |
amemelaki	a m e m e l a k i |
amemeli	a m e m e l i |
amemi	a m e m i |
amerika	a m e r i k a |
amerique	a m e r i q u e |
amesana	a m e s a n a |
ameseni	a m e s e n i |
amibengaka	a m i b e n g a k a |
amibongisi	a m i b o n g i s i |
amikangaka	a m i k a n g a k a |
amikanisaka	a m i k a n i s a k a |
amilobelaki	a m i l o b e l a k i |
amilobeli	a m i l o b e l i |
amilobi	a m i l o b i |
aminyɔlisi	a m i n y ɔ l i s i |
amipesa	a m i p e s a |
amisaleli	a m i s a l e l i |
amitielaki	a m i t i e l a k i |
amitii	a m i t i i |
amitiki	a m i t i k i |
amitungisamaki	a m i t u n g i s a m a k i |
amituni	a m i t u n i |
amiyanoli	a m i y a n o l i |
amiyɔkeli	a m i y ɔ k e l i |
amiyɔki	a m i y ɔ k i |
amona	a m o n a |
amonaka	a m o n a k a |
amonaki	a m o n a k i |
amonela	a m o n e l a |
amoni	a m o n i |
amozongiseli	a m o z o n g i s e l i |
ampɔnaka	a m p ɔ n a k a |
ampɔnaki	a m p ɔ n a k i |
amɛla	a m ɛ l a |
andima	a n d i m a |
andimaki	a n d i m a k i |
andimi	a n d i m i |
angana	a n g a n a |
angola	a n g o l a |
animation	a n i m a t i o n |
aningana	a n i n g a n a |
aningisi	a n i n g i s i |
ans	a n s |
ansosoli	a n s o s o l i |
anthony	a n t h o n y |
antigang	a n t i g a n g |
anto	a n t o |
antoine	a n t o i n e |
antony	a n t o n y |
anu	a n u |
anyati	a n y a t i |
anyɔkwama	a n y ɔ k w a m a |
anyɔkwamaki	a n y ɔ k w a m a k i |
anzelu	a n z e l u |
aom	a o m |
apakati	a p a k a t i |
apambola	a p a m b o l a |
apangusaki	a p a n g u s a k i |
apangusi	a p a n g u s i |
apate	a p a t e |
apekisa	a p e k i s a |
apekisaka	a p e k i s a k a |
apekisi	a p e k i s i |
apemaki	a p e m a k i |
apemi	a p e m i |
apesa	a p e s a |
apesaki	a p e s a k i |
apres	a p r e s |
aprofiter	a p r o f i t e r |
aptitude	a p t i t u d e |
apumbuki	a p u m b u k i |
apupoli	a p u p o l i |
apusana	a p u s a n a |
apusanaki	a p u s a n a k i |
apusani	a p u s a n i |
apusi	a p u s i |
araisonner	a r a i s o n n e r |
aresister	a r e s i s t e r |
arret	a r r e t |
arthur	a r t h u r |
asakana	a s a k a n a |
asakoleli	a s a k o l e l i |
asala	a s a l a |
asalaka	a s a l a k a |
asalaki	a s a l a k i |
asalela	a s a l e l a |
asalelaki	a s a l e l a k i |
asali	a s a l i |
asalisa	a s a l i s a |
asalisaki	a s a l i s a k i |
asalisi	a s a l i s i |
asambisi	a s a m b i s i |
asambwe	a s a m b w e |
asambɛlɛla	a s a m b ɛ l ɛ l a |
asangisi	a s a n g i s i |
asbl	a s b l |
ascenceur	a s c e n c e u r |
asedecider	a s e d e c i d e r |
asekaka	a s e k a k a |
aseki	a s e k i |
asengaki	a s e n g a k i |
asengeli	a s e n g e l i |
asengi	a s e n g i |
asepela	a s e p e l a |
asepelaki	a s e p e l a k i |
asepeli	a s e p e l i |
asi	a s i |
asii	a s i i |
asilaki	a s i l a k i |
asili	a s i l i |
asilikaka	a s i l i k a k a |
asilikaki	a s i l i k a k i |
asiliki	a s i l i k i |
asilisa	a s i l i s a |
asilisaki	a s i l i s a k i |
asilisi	a s i l i s i |
asimba	a s i m b a |
asimbi	a s i m b i |
asimbisi	a s i m b i s i |
asomba	a s o m b a |
asombaka	a s o m b a k a |
asombaki	a s o m b a k i |
asombelaki	a s o m b e l a k i |
asombi	a s o m b i |
asuka	a s u k a |
asukisa	a s u k i s a |
asukisi	a s u k i s i |
asukola	a s u k o l a |
asukolaka	a s u k o l a k a |
asukoli	a s u k o l i |
asundola	a s u n d o l a |
asunga	a s u n g a |
asungaki	a s u n g a k i |
asungi	a s u n g i |
asutukaki	a s u t u k a k i |
asutuki	a s u t u k i |
aswanaki	a s w a n a k i |
ata	a t a |
atala	a t a l a |
atalaki	a t a l a k i |
atali	a t a l i |
atambola	a t a m b o l a |
atambolaka	a t a m b o l a k a |
atambolaki	a t a m b o l a k i |
atambusa	a t a m b u s a |
atambusaki	a t a m b u s a k i |
atanga	a t a n g a |
atangaka	a t a n g a k a |
atangeli	a t a n g e l i |
atangisaki	a t a n g i s a k i |
ateka	a t e k a |
atekaka	a t e k a k a |
atekeli	a t e k e l i |
atekisaka	a t e k i s a k a |
atekisi	a t e k i s i |
atelema	a t e l e m a |
atelemaki	a t e l e m a k i |
atelemi	a t e l e m i |
atelemisaki	a t e l e m i s a k i |
atelemisi	a t e l e m i s i |
atengama	a t e n g a m a |
atia	a t i a |
atiaki	a t i a k i |
atie	a t i e |
atielaki	a t i e l a k i |
atika	a t i k a |
atikaki	a t i k a k i |
atikala	a t i k a l a |
atikalaka	a t i k a l a k a |
atikalaki	a t i k a l a k i |
atikali	a t i k a l i |
atikela	a t i k e l a |
atiki	a t i k i |
atimbelaki	a t i m b e l a k i |
atindi	a t i n d i |
atiya	a t i y a |
atlantik	a t l a n t i k |
atomboki	a t o m b o k i |
atomboli	a t o m b o l i |
atosa	a t o s a |
atshayaka	a t s h a y a k a |
attendant	a t t e n d a n t |
atubela	a t u b e l a |
atubelaki	a t u b e l a k i |
atumoli	a t u m o l i |
atunaki	a t u n a k i |
atuni	a t u n i |
atutaki	a t u t a k i |
atuti	a t u t i |
au	a u |
auditorat	a u d i t o r a t |
auguy	a u g u y |
aujourdhui	a u j o u r d h u i |
avant	a v a n t |
avenir	a v e n i r |
avenue	a v e n u e |
avion	a v i o n |
awa	a w a |
awumela	a w u m e l a |
awumelaki	a w u m e l a k i |
awuta	a w u t a |
awutaki	a w u t a k i |
awuti	a w u t i |
aya	a y a |
ayaka	a y a k a |
ayaki	a y a k i |
ayambaki	a y a m b a k i |
ayambi	a y a m b i |
ayanolaki	a y a n o l a k i |
ayanoli	a y a n o l i |
aye	a y e |
ayebanaki	a y e b a n a k i |
ayebelaka	a y e b e l a k a |
ayebi	a y e b i |
ayebika	a y e b i k a |
ayebiki	a y e b i k i |
ayebisa	a y e b i s a |
ayebisaki	a y e b i s a k i |
ayebisi	a y e b i s i |
ayei	a y e i |
ayemba	a y e m b a |
ayembaka	a y e m b a k a |
ayibaki	a y i b a k i |
ayibi	a y i b i |
ayoka	a y o k a |
ayokaka	a y o k a k a |
ayokaki	a y o k a k i |
ayɔkela	a y ɔ k e l a |
ayɔki	a y ɔ k i |
aza	a z a |
azala	a z a l a |
azalaka	a z a l a k a |
azalaki	a z a l a k i |
azali	a z a l i |
azanga	a z a n g a |
azangaka	a z a n g a k a |
azela	a z e l a |
azelaka	a z e l a k a |
azelaki	a z e l a k i |
azelisaki	a z e l i s a k i |
azoboya	a z o b o y a |
azokana	a z o k a n a |
azoki	a z o k i |
azokoma	a z o k o m a |
azoluka	a z o l u k a |
azonga	a z o n g a |
azongaki	a z o n g a k i |
azongeli	a z o n g e l i |
azongi	a z o n g i |
azongisaki	a z o n g i s a k i |
azongisela	a z o n g i s e l a |
azongiseli	a z o n g i s e l i |
azongisi	a z o n g i s i |
azosala	a z o s a l a |
azosambwisa	a z o s a m b w i s a |
azotala	a z o t a l a |
azoyeba	a z o y e b a |
azoyebisa	a z o y e b i s a |
azoyela	a z o y e l a |
azozela	a z o z e l a |
azozonga	a z o z o n g a |
azozwela	a z o z w e l a |
azwa	a z w a |
azwaka	a z w a k a |
azwaki	a z w a k i |
azwela	a z w e l a |
azwelaki	a z w e l a k i |
azwi	a z w i |
b	b |
ba	b a |
baallure	b a a l l u r e |
baattaque	b a a t t a q u e |
baba	b a b a |
babakisi	b a b a k i s i |
babalabala	b a b a l a b a l a |
babalaka	b a b a l a k a |
babalana	b a b a l a n a |
babalanaka	b a b a l a n a k a |
babale	b a b a l e |
babaluki	b a b a l u k i |
babandi	b a b a n d i |
babangaka	b a b a n g a k a |
babanques	b a b a n q u e s |
babatelinzoto	b a b a t e l i n z o t o |
babayaki	b a b a y a k i |
babayer	b a b a y e r |
babebe	b a b e b e |
babebisaka	b a b e b i s a k a |
babebisaki	b a b e b i s a k i |
babebisela	b a b e b i s e l a |
babeleli	b a b e l e l i |
babelge	b a b e l g e |
babelgicains	b a b e l g i c a i n s |
babendana	b a b e n d a n a |
babendi	b a b e n d i |
babenefice	b a b e n e f i c e |
babenga	b a b e n g a |
babengaka	b a b e n g a k a |
babengaki	b a b e n g a k i |
babengana	b a b e n g a n a |
babenganaki	b a b e n g a n a k i |
babengani	b a b e n g a n i |
babengi	b a b e n g i |
babengisi	b a b e n g i s i |
babenzula	b a b e n z u l a |
babeta	b a b e t a |
babetaka	b a b e t a k a |
babetama	b a b e t a m a |
babeti	b a b e t i |
babimaka	b a b i m a k a |
babimi	b a b i m i |
babimisaki	b a b i m i s a k i |
babimisi	b a b i m i s i |
babindre	b a b i n d r e |
babisi	b a b i s i |
babola	b a b o l a |
baboma	b a b o m a |
babomi	b a b o m i |
babongisa	b a b o n g i s a |
babongisi	b a b o n g i s i |
babonza	b a b o n z a |
babonzelaki	b a b o n z e l a k i |
babosana	b a b o s a n a |
babota	b a b o t a |
babotama	b a b o t a m a |
babotamaka	b a b o t a m a k a |
babotamaki	b a b o t a m a k i |
baboti	b a b o t i |
babotisi	b a b o t i s i |
baboudaki	b a b o u d a k i |
baboudelaka	b a b o u d e l a k a |
baboul	b a b o u l |
baboya	b a b o y a |
baboyaki	b a b o y a k i |
baboyi	b a b o y i |
babrique	b a b r i q u e |
babriquetier	b a b r i q u e t i e r |
babuka	b a b u k a |
babukani	b a b u k a n i |
babuki	b a b u k i |
babuku	b a b u k u |
babundaki	b a b u n d a k i |
babureau	b a b u r e a u |
babwakamaki	b a b w a k a m a k i |
babwaki	b a b w a k i |
bacahier	b a c a h i e r |
bacamarade	b a c a m a r a d e |
bacarte	b a c a r t e |
bacartes	b a c a r t e s |
bacartons	b a c a r t o n s |
bachampagne	b a c h a m p a g n e |
bacharme	b a c h a r m e |
bachinois	b a c h i n o i s |
bacoin	b a c o i n |
bacommissionnaire	b a c o m m i s s i o n n a i r e |
bacommunes	b a c o m m u n e s |
bacomprena	b a c o m p r e n a |
bacomprendre	b a c o m p r e n d r e |
bacongolais	b a c o n g o l a i s |
bacoop	b a c o o p |
bacote	b a c o t e |
bacroyaka	b a c r o y a k a |
badalungwa	b a d a l u n g w a |
badamage	b a d a m a g e |
badefaut	b a d e f a u t |
badefi	b a d e f i |
bademarches	b a d e m a r c h e s |
badepots	b a d e p o t s |
badernier	b a d e r n i e r |
badeviz	b a d e v i z |
badictateur	b a d i c t a t e u r |
badiscours	b a d i s c o u r s |
badoki	b a d o k i |
badolar	b a d o l a r |
badossier	b a d o s s i e r |
badroit	b a d r o i t |
baemission	b a e m i s s i o n |
baetudiant	b a e t u d i a n t |
baexamen	b a e x a m e n |
baexemple	b a e x e m p l e |
baexpliquer	b a e x p l i q u e r |
bafamille	b a f a m i l l e |
bafamilles	b a f a m i l l e s |
bafanda	b a f a n d a |
bafandaka	b a f a n d a k a |
bafandaki	b a f a n d a k i |
bafandi	b a f a n d i |
bafaux	b a f a u x |
bafazeur	b a f a z e u r |
baffle	b a f f l e |
bafinga	b a f i n g a |
bafingi	b a f i n g i |
bafrancais	b a f r a n c a i s |
bafrites	b a f r i t e s |
bafulafula	b a f u l a f u l a |
bafundaki	b a f u n d a k i |
bafundi	b a f u n d i |
bafungola	b a f u n g o l a |
bafungolaki	b a f u n g o l a k i |
bafungolela	b a f u n g o l e l a |
bafungoli	b a f u n g o l i |
bafuta	b a f u t a |
bafutaka	b a f u t a k a |
bafuti	b a f u t i |
bagardecivil	b a g a r d e c i v i l |
bagendarmes	b a g e n d a r m e s |
baghetto	b a g h e t t o |
bagrand	b a g r a n d |
bagrandpretre	b a g r a n d p r e t r e |
baheure	b a h e u r e |
bahibou	b a h i b o u |
baimmeuble	b a i m m e u b l e |
bainteret	b a i n t e r e t |
bainvitation	b a i n v i t a t i o n |
bajeannine	b a j e a n n i n e |
bajeu	b a j e u |
bajour	b a j o u r |
bajuges	b a j u g e s |
bakabaka	b a k a b a k a |
bakabwana	b a k a b w a n a |
bakala	b a k a l a |
bakalingi	b a k a l i n g i |
bakamba	b a k a m b a |
bakambwana	b a k a m b w a n a |
bakambwanaki	b a k a m b w a n a k i |
bakamwaka	b a k a m w a k a |
bakamwe	b a k a m w e |
bakana	b a k a n a |
bakanga	b a k a n g a |
bakangaka	b a k a n g a k a |
bakangaki	b a k a n g a k i |
bakangela	b a k a n g e l a |
bakangi	b a k a n g i |
bakanisa	b a k a n i s a |
bakanisaki	b a k a n i s a k i |
bakara	b a k a r a |
bakata	b a k a t a |
bakati	b a k a t i |
bakatini	b a k a t i n i |
bakatisi	b a k a t i s i |
bakei	b a k e i |
bakelasi	b a k e l a s i |
bakelela	b a k e l e l a |
bakenda	b a k e n d a |
bakendaka	b a k e n d a k a |
bakendeke	b a k e n d e k e |
bakesi	b a k e s i |
baketch	b a k e t c h |
bakeyi	b a k e y i |
bakimaki	b a k i m a k i |
bakimisaki	b a k i m i s a k i |
bakipa	b a k i p a |
bakipe	b a k i p e |
bakisi	b a k i s i |
bakita	b a k i t a |
bakiti	b a k i t i |
bakitisi	b a k i t i s i |
baklando	b a k l a n d o |
bakobaka	b a k o b a k a |
bakobanda	b a k o b a n d a |
bakobandela	b a k o b a n d e l a |
bakobanga	b a k o b a n g a |
bakobenda	b a k o b e n d a |
bakocomprendre	b a k o c o m p r e n d r e |
bakofungola	b a k o f u n g o l a |
bakokaka	b a k o k a k a |
bakokaki	b a k o k a k i |
bakokamwa	b a k o k a m w a |
bakoki	b a k o k i |
bakokɛndɛ	b a k o k ɛ n d ɛ |
bakola	b a k o l a |
bakolaka	b a k o l a k a |
bakolala	b a k o l a l a |
bakoli	b a k o l i |
bakoliya	b a k o l i y a |
bakolo	b a k o l o |
bakoloba	b a k o l o b a |
bakolongola	b a k o l o n g o l a |
bakoluka	b a k o l u k a |
bakolɛmba	b a k o l ɛ m b a |
bakoma	b a k o m a |
bakomaka	b a k o m a k a |
bakomaki	b a k o m a k i |
bakombi	b a k o m b i |
bakomi	b a k o m i |
bakomisa	b a k o m i s a |
bakomisi	b a k o m i s i |
bakomona	b a k o m o n a |
bakomonana	b a k o m o n a n a |
bakomɛla	b a k o m ɛ l a |
bakongo	b a k o n g o |
bakonzi	b a k o n z i |
bakosa	b a k o s a |
bakosaka	b a k o s a k a |
bakosala	b a k o s a l a |
bakosenga	b a k o s e n g a |
bakosomba	b a k o s o m b a |
bakotaki	b a k o t a k i |
bakoti	b a k o t i |
bakotikala	b a k o t i k a l a |
bakotinda	b a k o t i n d a |
bakotisi	b a k o t i s i |
bakotonda	b a k o t o n d a |
bakotungisa	b a k o t u n g i s a |
bakowuta	b a k o w u t a |
bakoya	b a k o y a |
bakoyamba	b a k o y a m b a |
bakoyekola	b a k o y e k o l a |
bakoyiba	b a k o y i b a |
bakozala	b a k o z a l a |
bakozonga	b a k o z o n g a |
bakozwa	b a k o z w a |
bakristu	b a k r i s t u |
bakufa	b a k u f a |
bakufaka	b a k u f a k a |
bakufaki	b a k u f a k i |
bakufelaka	b a k u f e l a k a |
bakufi	b a k u f i |
bakuluna	b a k u l u n a |
bakulutu	b a k u l u t u |
bakumbi	b a k u m b i |
bakundaki	b a k u n d a k i |
bakundi	b a k u n d i |
bakurage	b a k u r a g e |
bakutana	b a k u t a n a |
bakutanaka	b a k u t a n a k a |
bakutanaki	b a k u t a n a k i |
bakuzu	b a k u z u |
bakɔkɔ	b a k ɔ k ɔ |
bakɔkɔka	b a k ɔ k ɔ k a |
bakɔkɔma	b a k ɔ k ɔ m a |
bakɛndɛ	b a k ɛ n d ɛ |
bakɛndɛke	b a k ɛ n d ɛ k e |
bakɛndɛki	b a k ɛ n d ɛ k i |
balabala	b a l a b a l a |
balakani	b a l a k a n i |
balakisi	b a l a k i s i |
balala	b a l a l a |
balalaki	b a l a l a k i |
balali	b a l a l i |
balanda	b a l a n d a |
balandi	b a l a n d i |
balangwa	b a l a n g w a |
balar	b a l a r |
balata	b a l a t a |
balataka	b a l a t a k a |
baleka	b a l e k a |
baleki	b a l e k i |
balekisaki	b a l e k i s a k i |
baleyi	b a l e y i |
balibanais	b a l i b a n a i s |
balingaka	b a l i n g a k a |
balingaki	b a l i n g a k i |
balinganaka	b a l i n g a n a k a |
balinganaki	b a l i n g a n a k i |
balingi	b a l i n g i |
baloba	b a l o b a |
balobaka	b a l o b a k a |
balobaki	b a l o b a k i |
balobi	b a l o b i |
balokotaka	b a l o k o t a k a |
balonga	b a l o n g a |
balongola	b a l o n g o l a |
balongolaki	b a l o n g o l a k i |
balongoli	b a l o n g o l i |
balongwaki	b a l o n g w a k i |
balongwe	b a l o n g w e |
baluba	b a l u b a |
baluka	b a l u k a |
baluki	b a l u k i |
balukisaki	b a l u k i s a k i |
baluozi	b a l u o z i |
balɔka	b a l ɔ k a |
balɛmba	b a l ɛ m b a |
bamacon	b a m a c o n |
bamakambo	b a m a k a m b o |
bamakambu	b a m a k a m b u |
bamakambuango	b a m a k a m b u a n g o |
bamama	b a m a m a |
bamandona	b a m a n d o n a |
bamaputa	b a m a p u t a |
bamarechal	b a m a r e c h a l |
bamasanga	b a m a s a n g a |
bamashini	b a m a s h i n i |
bamataki	b a m a t a k i |
bamati	b a m a t i |
bamayi	b a m a y i |
bambala	b a m b a l a |
bambata	b a m b a t a |
bambendre	b a m b e n d r e |
bambikudi	b a m b i k u d i |
bamboka	b a m b o k a |
bambote	b a m b o t e |
bambula	b a m b u l a |
bambɔgɔ	b a m b ɔ g ɔ |
bameka	b a m e k a |
bameki	b a m e k i |
bamemaki	b a m e m a k i |
bamemela	b a m e m e l a |
bamemeli	b a m e m e l i |
bamemi	b a m e m i |
bamenace	b a m e n a c e |
bamesana	b a m e s a n a |
bametre	b a m e t r e |
bamfumulele	b a m f u m u l e l e |
bamgu	b a m g u |
bamibatela	b a m i b a t e l a |
bamiboma	b a m i b o m a |
bamikili	b a m i k i l i |
bamilingaka	b a m i l i n g a k a |
bamilobelanaki	b a m i l o b e l a n a k i |
bamilobeli	b a m i l o b e l i |
bamimonisaki	b a m i m o n i s a k i |
baminerval	b a m i n e r v a l |
baminganga	b a m i n g a n g a |
bamipesaka	b a m i p e s a k a |
bamiraesa	b a m i r a e s a |
bamisala	b a m i s a l a |
bamista	b a m i s t a |
bamisusu	b a m i s u s u |
bamomi	b a m o m i |
bamona	b a m o n a |
bamonaka	b a m o n a k a |
bamonaki	b a m o n a k i |
bamonana	b a m o n a n a |
bamoni	b a m o n i |
bamoyen	b a m o y e n |
bampasi	b a m p a s i |
bampion	b a m p i o n |
bampɔna	b a m p ɔ n a |
bamvula	b a m v u l a |
bamwangani	b a m w a n g a n i |
bamystiquaka	b a m y s t i q u a k a |
bamɛla	b a m ɛ l a |
bamɛli	b a m ɛ l i |
bana	b a n a |
banabasi	b a n a b a s i |
banande	b a n a n d e |
banani	b a n a n i |
banationaliste	b a n a t i o n a l i s t e |
banbongisaka	b a n b o n g i s a k a |
banda	b a n d a |
