original,predicted,wer:21.54,cer:6.81,num_tokens,num_chars,substitutions,insertions,deletions
tshotsho kodiongo alobi te nalongwa barumbu kala nazonga kutu kuna te tolongwaki kuna tango tozalaki bana mike,tshotsho kodiongo alobi te nalongwa barumbukala nazonga kutu kuna te tolongwaki kuna tango tozalaki bana mayi,3,3,17,94,2,0,1
afandi mwa kimya azongisi mokongo na nsima,afandi mwa kimiya azongisi mokongo na nsima,1,1,7,36,1,0,0
azwi elongi atelemisi yango na lolendo ya kimpa vita,azwi elongi atelemisi yango na lolendo ya kinpavita,2,1,9,44,1,0,1
excellence asilisi kolia fufu na ngayi ngayi ya mosaka na nyama ya zamba,excellence asilisi cobiar kofilangalingale ya mosaka mana mazambad,9,15,13,60,4,0,5
kwiti azalaki na yango esili ye,kwiti ezalaki na yango esili ye,1,1,6,26,1,0,0
azalaki na mapango ntuku mibale,azalaki na mapango tuku mibale,1,1,5,27,1,0,0
soki yɔ okomi koluka po na yɔ moko etali yɔ,bakomɛla yɔ okozanga esika okokɛndɛ kofanda,9,29,10,34,5,0,4
mɔtɔ ya mobutu moko tango kabila oyɔ ya tata akotaki na bokonzi alulaki na ndenge nyɔnso azwa ebonga kasi bakipa ye te,moto ya mobutu moko tango kabila oyɔ ya tata akotaki na bokonzi alukaki na ndenge nyɔnso azwa ebonga kasi bakipaye te,4,3,22,97,3,0,1
bato oyɔ bakonzi basalelaki babwaki kobwakama babwakamaki motema na bango balongolaki,bato oyɔ bakonzi basalelaki babwaki kobwakama babwakanaki motema na bango balogolaki,2,2,11,75,2,0,0
bino nde bapomba,bino nde bopomba,1,1,3,14,1,0,0
mbɔngɔ na biso tout bobongisa mboka bolingi te,mboka na biso tu bobongisa mboka bolingi te,2,6,8,39,2,0,0
bato bazalaki kokɛngɛla ye basutuka,bato bazalaki kokɛngela ye basutuka,1,1,5,31,1,0,0
bilɔkɔ ya kolia,bilɔkɔ ya koliya,1,1,3,13,1,0,0
makambo ya kobomana ezalaki te,makambo ya koboma na ezalaki te,2,0,5,26,1,1,0
mama na ye na bandeko na ye bafandaka kaka na menkao,mama na ye na bandeko na ye bafandaka kaka na mekaon,1,2,11,42,1,0,0
tala ndeko telema na malεmbε,ta bandeko telema na malεmbε,2,1,5,24,2,0,0
toloba nini,toloba nini,0,0,2,10,0,0,0
moko na matonge mosusu na ndjili oyɔ ya suka na lingwala,moko na matonge mosusu na ndjili oyɔ ya suka na lingwala,0,0,11,46,0,0,0
tango motema na ye sanduku etuni ye ebongo sikoyɔ nzela oyɔ ebongaki kotɔnga na kikwit,tango motema na ye sanduku etuni ye ebongo sikoyɔ nzela oyɔ ebongaki kotonga na ikwiti,2,3,15,72,2,0,0
ya solo oyɔ mpenza ndako ya ministre mokumbεli masolo,ya sɔlo oyɔ mpenza nda kaministre mokumbeli masolo,5,4,9,45,4,0,1
kasi baninga balobi na ye  te tozali na mɔtɔ ya solo na barumbu te,kasi baninga balobi na ye te tozali na mɔtɔ ya solo na barumbu te,0,0,14,52,0,0,0
abongisa ndako na bango kasi azonga te,abongisa ndako na bango kasi azonga te,0,0,7,32,0,0,0
kimoninga tango bokonzi bakonzi ezalaka te,kimoninga tango bokonzi bakonzi ezalaka te,0,0,6,37,0,0,0
ngai muji mwana ya mama misi,ngai mouji mwana ya mama miso,2,2,6,23,2,0,0
ekomi na ngonga moko boye ekomi kosenga kosala maponomi,ekomi na ngonga moko boye ekomi kosenga kosala maponomi,0,0,9,47,0,0,0
azwaki nanu tango ya koyanola te oyɔ ya misato abwakeli ye azotala ye na kati ya miso,azwaki nanu tango koyanola te oyɔ ya misato abwakeli ye  azotala ye na kati ya miso,1,2,17,69,0,0,1
mayεlε te nawangana,mayεlε te nawangana,0,0,3,17,0,0,0
ata epumbuki nanu te obeti libaku mutu ekei kotutana na kiti pe okufi,ata koboki nanu te obeti libaku mɔtɔ eke ei kokutana na kiti pe okufi,5,9,13,57,4,1,0
asalisi mikanda nyɔnso na ndenge esengeli,asalisi mikanda nyɔnso na ndenge esengeli,0,0,6,36,0,0,0
makambo tomilukelaka,makambo tomilukelaka,0,0,2,19,0,0,0
tshotsho kodiongo ye wana akoti na ekala moko na barumbu ezalaki na esika balabala kasayi ekatana na kitega,tshotsh kodioongoye wana akoti na ekala moko na barumbu ezalaki na esika balabala kasai ekatana na kitega,4,3,18,90,3,0,1
ata ndεlε bokopakata,ata ndεlε bokopakaka,1,1,3,18,1,0,0
tata moko azalaki na pawu na ye azalaki kokɛndɛ kotimola nzela po mayi ya mvula eleka ayɔki neti bafingi mama na ye,tata moko azalaki na pawo na ye azalaki kokɛndɛ kotimola nzela po mayi ya mvula eleka ayɔki neti bafingi mama na ye,1,1,22,94,1,0,0
lεlɔ nde tokomi baprêtre,lεlɔ nde tokomi bapretre,1,1,4,21,1,0,0
akei kozinda kuna,akeyi kozinda kuna,1,1,3,15,1,0,0
nazwa momeseno ya koyokaka makelele ya kolelaka na yɔ,nazwa momeseno ya koyokaka makelele ya koleka na yɔ,1,2,9,45,1,0,0
bato babaluki babandi kotala mama oyɔ azali koloba na koganga,bato babaluki babandi kotala mama oyɔ azali koloba na koganga,0,0,10,52,0,0,0
mbεlε ezali kongala,mbala ezali kongala,1,2,3,17,1,0,0
ngonga babatelinzoto bapekisa azwi bambata makɔfi bisambeti,ngongabap atali nzoto  bapekisa azwi bambata makofi lisambete,5,5,7,53,4,1,0
tshotsho kodiongo akei kobelela po bampɔna ye na barumbu,tshotsho kodiongo akeyi kobelela po bapona ye na barumbu,2,3,9,48,2,0,0
po otɔnga hotel awa yango nde okanisi que okomi mwana ya barumbu,po otonga otel awa yango nde okanisi que okomi mwana ya bayumbu,3,3,12,53,3,0,0
oyebi te ke banda kala liboso kutu mindεlε baya baluba bazalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo pe bakongo bazalaki kokɛndɛ koteka bilɔkɔ na kasayi,oyebi te kue banda kala liboso kutu mindεlε baya baluba bazalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo pe bakongo bazalaki kokɛndɛ koteka bilɔkɔ na kasai,2,2,25,130,2,0,0
yɔ olingi natanga yango wapi pere na biso ye moko liboso aya kofanda na kinshasa azalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo mbala na mbala,yɔ olingi natanga yango wapi peure na biso ye moko liboso aya kofanda na kinshasa azalaki kokɛndɛ koteka bilɔkɔ epayi ya bakongo mbala na mbala,1,1,25,118,1,0,0
aboyi kokɛndɛ poto,aboyi kokɛndɛ poto,0,0,3,16,0,0,0
lokola ayebiki koloba kikongo ezalaki koleka na yango,lokola ayebiki koloba ki kongo ezalaki koleka na yango,2,0,8,46,1,1,0
sikoyɔ ozoya po tompɔna yɔ,sikoyɔ zoaya poto po na yɔ,3,4,5,22,2,1,0
oboyi kolandela makambo na bozindo,baboyi kolandela makambo na bozindo,1,2,5,30,1,0,0
idee ekoya ndenge nini okɛndɛ koluka mutu ya lumumba epayi ya mutu ya kasavubu,idet ekoya ndenge nini okɛnda koluka mɔtɔ ya lumumba epayi ya mɔtɔ ya kasavubu,4,6,14,65,4,0,0
villa ya dolar nkoto nkama misato,vinda ya dolar nkoto nkama misato,1,2,6,28,1,0,0
